nome,preço,referência,marca,stock (disponivel/indisponivel),categoria,descrição,imagens
TESOURA PODA KIPA 225MM,11.50,7784,,disponivel,Jardim e Agricultura,,TESOURA PODA KIPA 225MM.png
TESOURA PODA KIPA ALUMÍNIO 215MM REF.9430,14.85,2733,,disponivel,Jardim e Agricultura,,TESOURA PODA KIPA ALUMÍNIO 215MM REF.9430.png
TESOURA PODA KM5 CABO ALUMÍNIO,22.65,0113,,disponivel,Jardim e Agricultura,,TESOURA PODA KM5 CABO ALUMÍNIO.jpg
TESOURA VINDIMA INOX CURVA,4.70,5717,Vito,disponivel,Jardim e Agricultura,,TESOURA VINDIMA INOX CURVA.png
TESOURA VINDIMA INOX DIREITA,4.70,5717,Vito,disponivel,Jardim e Agricultura,,TESOURA VINDIMA INOX DIREITA.jpg
TESOURA VINDIMA KIPA 190MM,4.95,9187,,disponivel,Jardim e Agricultura,,TESOURA VINDIMA KIPA 190MM.jpg, TESOURA VINDIMA KIPA 190MM-2.jpg
TESOURAS PODA CABO ALUMINIO EXTENSÍVEL MADER REF.90125,41.80,6036,Mader,disponivel,Jardim e Agricultura,,TESOURAS PODA CABO ALUMINIO EXTENSÍVEL MADER REF.90125.PNG
TESOURAS PODA ELÉCTRICA LIKE 840W SC-8608 C/2BAT. REF.5034,193.80,9251,Like,disponivel,Jardim e Agricultura,,TESOURAS PODA ELÉCTRICA LIKE 840W SC-8608 C-2BAT. REF.5034.PNG
TESOURAS RAMOS MADER REF.90101,49.99,90101,Mader,disponivel,Jardim e Agricultura,,TESOURAS RAMOS MADER REF.90101.jpg, TESOURAS RAMOS MADER REF.90101-2.jpg, TESOURAS RAMOS MADER REF.90101-3.jpg, TESOURAS RAMOS MADER REF.90101-4.jpg, TESOURAS RAMOS MADER REF.90101-5.jpg, TESOURAS RAMOS MADER REF.90101-6.jpg, TESOURAS RAMOS MADER REF.90101-7.jpg, TESOURAS RAMOS MADER REF.90101-8.jpg
TESOURAS VINDIMA CURVA/DIREITA CARPA,5.50,2150,,disponivel,Jardim e Agricultura,,TESOURAS VINDIMA CURVA-DIREITA CARPA.PNG
UNHAS VINDIMA,0.95,2915,,disponivel,Jardim e Agricultura,,
